game_id,card_name,card_value
0,9,9
1,king,10
2,5,5
3,3,3
4,jack,10
5,jack,10
7,6,6
11,4,4
11,5,5
12,king,10
13,5,5
16,ace,11
16,ace,11
16,4,4
17,6,6
17,ace,11
17,6,6
21,4,4
21,2,2
22,ace,11
22,queen,10
23,jack,10
25,7,7
27,ace,11
27,4,4
29,4,4
29,6,6
30,6,6
30,ace,11
30,9,9
34,jack,10
37,ace,11
37,ace,11
37,8,8
39,9,9
42,2,2
42,ace,11
42,4,4
43,9,9
43,queen,10
45,3,3
45,3,3
46,ace,11
47,2,2
47,2,2
47,6,6
47,queen,10
48,8,8
50,5,5
52,queen,10
53,3,3
53,king,10
56,jack,10
57,8,8
57,8,8
58,jack,10
59,6,6
60,2,2
61,2,2
61,king,10
62,6,6
64,ace,11
64,10,10
66,5,5
66,5,5
68,king,10
68,7,7
70,queen,10
70,5,5
71,9,9
72,5,5
74,king,10
77,9,9
78,6,6
78,2,2
78,4,4
78,king,10
84,10,10
85,king,10
86,jack,10
87,ace,11
88,king,10
89,9,9
91,queen,10
91,10,10
93,4,4
93,3,3
95,8,8
97,ace,11
97,9,9
99,8,8
101,9,9
101,3,3
101,6,6
102,10,10
103,5,5
104,6,6
105,7,7
105,king,10
106,5,5
109,6,6
110,4,4
112,8,8
112,10,10
114,king,10
116,10,10
117,ace,11
117,2,2
117,6,6
118,4,4
118,4,4
119,king,10
120,10,10
121,jack,10
122,8,8
122,queen,10
123,king,10
124,8,8
125,ace,11
125,10,10
127,9,9
128,ace,11
129,10,10
130,2,2
130,queen,10
131,2,2
131,10,10
132,6,6
132,6,6
133,king,10
134,ace,11
134,6,6
135,queen,10
136,3,3
136,king,10
139,3,3
139,6,6
140,ace,11
145,4,4
145,9,9
146,king,10
147,4,4
147,10,10
148,5,5
149,7,7
150,9,9
151,7,7
152,6,6
153,queen,10
155,king,10
155,2,2
156,10,10
157,6,6
158,ace,11
158,ace,11
158,jack,10
161,5,5
162,5,5
164,5,5
164,king,10
165,3,3
165,10,10
166,7,7
167,8,8
168,king,10
169,4,4
169,9,9
170,3,3
170,10,10
171,4,4
171,king,10
173,7,7
174,3,3
178,3,3
178,king,10
179,4,4
179,9,9
180,2,2
180,8,8
181,10,10
181,2,2
182,queen,10
183,queen,10
184,7,7
185,7,7
187,8,8
188,2,2
188,2,2
188,5,5
189,king,10
190,5,5
191,jack,10
191,10,10
192,6,6
192,2,2
192,5,5
193,9,9
194,9,9
195,queen,10
195,9,9
198,2,2
198,queen,10
199,7,7
200,queen,10
200,6,6
203,8,8
204,9,9
205,10,10
207,5,5
208,7,7
208,3,3
209,queen,10
210,7,7
211,8,8
214,10,10
214,2,2
215,3,3
215,ace,11
219,6,6
222,2,2
222,ace,11
224,9,9
226,king,10
227,queen,10
229,jack,10
230,king,10
233,jack,10
234,5,5
234,5,5
236,9,9
237,queen,10
238,7,7
239,5,5
240,5,5
241,7,7
241,ace,11
241,7,7
242,jack,10
244,6,6
244,8,8
245,jack,10
245,3,3
247,4,4
248,jack,10
250,2,2
250,queen,10
250,10,10
251,queen,10
252,6,6
253,ace,11
253,6,6
254,10,10
255,6,6
257,10,10
258,6,6
259,queen,10
260,jack,10
261,ace,11
261,5,5
262,queen,10
263,2,2
263,queen,10
264,9,9
264,7,7
265,king,10
267,6,6
267,jack,10
268,3,3
268,3,3
269,2,2
269,10,10
270,6,6
271,8,8
271,5,5
278,2,2
278,queen,10
279,5,5
280,10,10
280,9,9
281,ace,11
282,2,2
282,7,7
283,7,7
283,jack,10
285,ace,11
285,7,7
287,7,7
288,queen,10
289,10,10
290,king,10
292,3,3
292,8,8
294,3,3
294,king,10
295,7,7
297,8,8
298,king,10
299,3,3
299,10,10
301,ace,11
302,jack,10
303,8,8
304,2,2
304,3,3
305,10,10
306,5,5
307,4,4
307,3,3
308,queen,10
309,4,4
