game_id,card_name,card_value
0,2,2
0,8,8
1,king,10
2,10,10
3,10,10
4,10,10
5,10,10
6,9,9
9,queen,10
10,4,4
12,6,6
12,4,4
12,6,6
16,3,3
16,9,9
17,king,10
19,9,9
20,queen,10
20,jack,10
21,9,9
22,king,10
23,2,2
23,7,7
23,2,2
27,queen,10
27,9,9
28,3,3
29,4,4
29,ace,11
29,5,5
30,8,8
31,9,9
32,queen,10
33,queen,10
34,queen,10
35,2,2
35,3,3
37,3,3
37,3,3
38,ace,11
39,queen,10
41,8,8
42,3,3
42,2,2
44,4,4
44,jack,10
45,5,5
45,5,5
45,ace,11
46,2,2
46,4,4
47,jack,10
48,4,4
49,7,7
50,3,3
50,4,4
50,4,4
55,2,2
57,king,10
58,king,10
59,king,10
62,7,7
62,10,10
64,3,3
65,7,7
65,king,10
67,5,5
67,8,8
69,3,3
69,6,6
73,jack,10
75,9,9
75,7,7
76,jack,10
77,4,4
77,5,5
77,queen,10
79,3,3
79,queen,10
80,3,3
80,9,9
82,queen,10
83,6,6
85,3,3
85,9,9
86,3,3
87,8,8
88,jack,10
89,queen,10
89,6,6
90,jack,10
92,6,6
92,8,8
93,9,9
94,ace,11
94,ace,11
95,3,3
98,4,4
98,2,2
104,queen,10
106,5,5
106,jack,10
107,jack,10
109,2,2
109,ace,11
109,5,5
110,8,8
113,7,7
113,7,7
116,2,2
116,10,10
117,queen,10
118,queen,10
125,6,6
126,7,7
127,ace,11
127,king,10
129,ace,11
129,5,5
130,king,10
136,7,7
137,queen,10
137,10,10
138,10,10
139,9,9
139,ace,11
140,ace,11
141,9,9
141,3,3
142,queen,10
142,king,10
145,9,9
146,8,8
147,king,10
147,2,2
149,jack,10
151,jack,10
154,jack,10
156,2,2
156,ace,11
156,queen,10
159,6,6
159,6,6
160,5,5
162,jack,10
163,4,4
163,jack,10
163,9,9
164,3,3
164,8,8
165,5,5
166,queen,10
168,3,3
168,king,10
169,jack,10
169,2,2
169,7,7
170,6,6
173,3,3
174,ace,11
175,5,5
175,10,10
177,ace,11
177,jack,10
178,jack,10
179,2,2
179,6,6
180,jack,10
181,jack,10
182,7,7
183,3,3
184,3,3
186,queen,10
190,4,4
190,2,2
190,9,9
193,jack,10
194,6,6
