player_win,dealer_win,push,dealer_bust,player_hand_value,dealer_hand_value,player_hand,dealer_hand
0,1,0,0,15,20,"{'8': 1, '7': 1}","{'6': 1, '9': 1, '5': 1}"
0,1,0,0,18,20,"{'8': 1, '7': 1, '3': 1}","{'9': 1, '5': 1, '6': 1}"
0,0,1,0,21,21,"{'8': 1, '3': 1, '5': 2}","{'9': 1, '7': 1, '5': 1}"
1,0,0,0,21,17,"{'7': 1, '3': 1, '5': 1, '6': 1}","{'8': 1, '9': 1}"
0,1,0,0,17,21,"{'8': 1, '3': 1, '6': 1}","{'9': 1, '7': 1, '5': 1}"
1,0,0,0,21,17,"{'8': 1, '7': 1, '6': 1}","{'9': 1, '3': 1, '5': 1}"
1,0,0,0,21,17,"{'7': 1, '5': 1, '3': 1, '6': 1}","{'9': 1, '8': 1}"
0,1,0,0,16,19,"{'7': 1, '9': 1}","{'5': 1, '8': 1, '6': 1}"
0,1,0,0,18,20,"{'7': 1, '8': 1, '3': 1}","{'9': 1, '5': 1, '6': 1}"
0,1,0,0,22,10,"{'8': 1, '5': 1, '9': 1}","{'7': 1, '3': 1}"
0,1,0,0,22,16,"{'8': 1, '3': 1, '5': 1, '6': 1}","{'7': 1, '9': 1}"
0,1,0,0,18,20,"{'8': 1, '7': 1, '3': 1}","{'9': 1, '5': 1, '6': 1}"
0,1,0,0,18,20,"{'8': 1, '7': 1, '3': 1}","{'9': 1, '6': 1, '5': 1}"
1,0,0,1,15,23,"{'8': 1, '7': 1}","{'6': 1, '3': 1, '5': 1, '9': 1}"
0,1,0,0,18,20,"{'8': 1, '7': 1, '3': 1}","{'9': 1, '5': 1, '6': 1}"
1,0,0,0,20,18,"{'8': 1, '7': 1, '5': 1}","{'9': 1, '6': 1, '3': 1}"
0,1,0,0,19,21,"{'8': 1, '5': 1, '3': 2}","{'7': 1, '9': 1, '5': 1}"
0,1,0,0,18,20,"{'8': 1, '7': 1, '3': 1}","{'9': 1, '5': 1, '6': 1}"
