game_id,card_name,card_value
0,queen,10
1,5,5
1,ace,11
1,10,10
3,10,10
3,3,3
6,7,7
7,2,2
7,queen,10
7,king,10
8,3,3
8,2,2
9,jack,10
10,8,8
11,3,3
12,7,7
12,9,9
13,8,8
14,3,3
15,ace,11
15,2,2
15,2,2
16,6,6
20,4,4
22,8,8
24,4,4
26,jack,10
27,jack,10
28,9,9
29,3,3
29,6,6
29,6,6
31,2,2
31,jack,10
32,4,4
32,jack,10
33,7,7
34,5,5
34,5,5
37,ace,11
37,7,7
40,5,5
41,6,6
42,7,7
43,7,7
45,8,8
47,3,3
47,9,9
48,jack,10
49,4,4
49,8,8
49,jack,10
50,8,8
50,5,5
51,jack,10
52,3,3
52,3,3
52,ace,11
52,6,6
54,7,7
55,king,10
56,queen,10
58,6,6
59,king,10
59,10,10
60,3,3
61,queen,10
61,jack,10
62,8,8
67,10,10
68,2,2
68,5,5
69,queen,10
69,9,9
70,6,6
71,10,10
71,5,5
76,10,10
78,9,9
80,ace,11
80,10,10
81,9,9
82,ace,11
82,3,3
84,8,8
90,king,10
91,4,4
93,8,8
94,5,5
94,7,7
96,3,3
96,8,8
97,3,3
97,ace,11
97,9,9
98,8,8
99,7,7
100,2,2
101,9,9
102,5,5
103,10,10
104,6,6
104,5,5
105,10,10
106,jack,10
108,7,7
108,5,5
109,8,8
111,6,6
113,5,5
114,3,3
114,queen,10
116,5,5
117,jack,10
118,5,5
119,7,7
120,10,10
124,3,3
124,3,3
124,7,7
126,7,7
129,3,3
129,3,3
129,5,5
130,ace,11
131,3,3
131,9,9
132,5,5
132,2,2
134,ace,11
134,ace,11
136,ace,11
136,6,6
140,jack,10
141,queen,10
142,queen,10
143,2,2
143,7,7
144,4,4
144,queen,10
145,4,4
146,4,4
146,2,2
146,5,5
148,jack,10
148,5,5
150,king,10
152,8,8
153,2,2
153,king,10
155,6,6
156,3,3
157,queen,10
158,jack,10
160,queen,10
161,7,7
162,5,5
163,king,10
164,8,8
164,king,10
165,7,7
165,ace,11
165,6,6
166,queen,10
168,8,8
168,9,9
169,2,2
169,7,7
170,5,5
170,jack,10
173,king,10
175,10,10
177,3,3
177,10,10
178,8,8
180,7,7
181,queen,10
183,jack,10
184,3,3
184,6,6
186,9,9
187,4,4
191,9,9
192,queen,10
193,jack,10
195,queen,10
196,10,10
197,9,9
198,ace,11
200,10,10
202,queen,10
204,3,3
206,8,8
206,jack,10
208,8,8
210,king,10
211,jack,10
213,jack,10
214,queen,10
214,6,6
217,10,10
217,queen,10
218,8,8
218,ace,11
218,2,2
218,5,5
219,3,3
222,3,3
222,king,10
224,4,4
225,7,7
227,7,7
229,5,5
230,king,10
230,3,3
230,3,3
231,9,9
232,jack,10
234,6,6
236,10,10
237,5,5
240,4,4
240,6,6
240,4,4
241,ace,11
241,king,10
242,2,2
242,3,3
243,ace,11
246,king,10
248,8,8
250,4,4
251,5,5
252,8,8
253,10,10
254,8,8
254,king,10
256,9,9
257,5,5
258,4,4
260,5,5
262,7,7
263,queen,10
264,jack,10
266,2,2
266,7,7
266,king,10
268,queen,10
268,2,2
268,5,5
270,4,4
271,7,7
272,2,2
272,9,9
273,4,4
274,3,3
274,king,10
275,3,3
275,6,6
277,5,5
278,9,9
279,9,9
280,2,2
280,2,2
280,5,5
283,2,2
284,2,2
284,3,3
286,king,10
287,4,4
289,2,2
289,5,5
290,5,5
290,ace,11
293,9,9
295,5,5
296,4,4
297,9,9
298,7,7
299,8,8
300,9,9
302,4,4
302,3,3
303,king,10
304,5,5
305,queen,10
306,7,7
306,ace,11
306,9,9
307,2,2
309,jack,10
310,3,3
310,2,2
310,10,10
311,9,9
313,4,4
313,8,8
316,7,7
317,jack,10
318,4,4
319,9,9
320,queen,10
321,jack,10
322,9,9
323,10,10
327,4,4
328,5,5
328,king,10
329,8,8
330,2,2
330,5,5
331,ace,11
331,9,9
332,6,6
337,5,5
338,3,3
338,8,8
339,6,6
341,8,8
343,6,6
343,9,9
344,jack,10
346,6,6
346,jack,10
347,king,10
349,queen,10
350,10,10
351,king,10
353,9,9
354,2,2
354,king,10
355,3,3
358,king,10
359,6,6
364,10,10
365,6,6
366,9,9
368,3,3
368,9,9
369,8,8
369,queen,10
370,3,3
371,2,2
371,9,9
372,8,8
372,4,4
374,9,9
376,ace,11
376,5,5
377,10,10
377,10,10
378,2,2
378,10,10
379,3,3
380,3,3
382,queen,10
383,7,7
385,6,6
388,ace,11
388,6,6
389,7,7
389,8,8
390,ace,11
390,6,6
391,ace,11
393,10,10
395,6,6
396,ace,11
396,6,6
397,9,9
398,jack,10
401,ace,11
402,ace,11
403,4,4
404,4,4
405,king,10
406,queen,10
407,10,10
408,king,10
409,10,10
411,5,5
411,8,8
415,10,10
417,king,10
418,3,3
419,3,3
419,6,6
420,8,8
420,4,4
421,4,4
421,8,8
423,2,2
424,5,5
425,9,9
426,9,9
427,7,7
429,5,5
429,2,2
429,3,3
430,3,3
430,7,7
433,4,4
434,4,4
435,8,8
436,4,4
436,4,4
436,9,9
437,ace,11
438,queen,10
441,7,7
442,2,2
442,9,9
443,ace,11
443,9,9
444,jack,10
445,8,8
447,10,10
447,queen,10
448,8,8
452,2,2
452,7,7
455,8,8
456,jack,10
457,6,6
457,2,2
460,3,3
460,ace,11
462,2,2
463,3,3
463,ace,11
464,jack,10
465,ace,11
465,7,7
467,3,3
468,queen,10
469,3,3
469,10,10
473,king,10
473,king,10
475,2,2
475,3,3
475,3,3
478,jack,10
479,5,5
479,2,2
480,8,8
482,8,8
483,3,3
485,king,10
487,5,5
488,10,10
489,ace,11
489,king,10
490,4,4
490,3,3
491,2,2
491,king,10
494,9,9
495,10,10
495,4,4
497,4,4
501,king,10
502,queen,10
504,4,4
504,2,2
508,9,9
509,king,10
511,ace,11
513,6,6
514,3,3
516,8,8
517,5,5
517,king,10
519,ace,11
520,queen,10
522,8,8
524,8,8
525,8,8
526,queen,10
528,jack,10
530,9,9
531,jack,10
532,9,9
534,3,3
536,3,3
536,ace,11
536,9,9
537,queen,10
538,ace,11
538,king,10
538,4,4
539,6,6
540,6,6
541,9,9
541,jack,10
543,7,7
544,king,10
545,2,2
545,ace,11
546,5,5
546,10,10
547,jack,10
548,8,8
549,5,5
551,jack,10
552,8,8
553,6,6
554,9,9
555,3,3
555,5,5
556,8,8
557,queen,10
559,5,5
560,9,9
561,2,2
561,queen,10
564,9,9
565,8,8
566,5,5
567,ace,11
567,7,7
571,6,6
575,6,6
577,8,8
579,7,7
580,queen,10
584,4,4
585,king,10
586,6,6
587,jack,10
589,8,8
590,7,7
591,9,9
592,9,9
593,9,9
594,ace,11
595,ace,11
595,queen,10
596,queen,10
597,2,2
597,2,2
599,3,3
599,2,2
600,7,7
601,7,7
603,2,2
603,7,7
603,10,10
605,4,4
606,3,3
606,jack,10
607,4,4
609,4,4
610,jack,10
612,3,3
612,ace,11
612,jack,10
613,king,10
614,9,9
615,4,4
615,9,9
617,jack,10
618,8,8
619,king,10
620,9,9
621,4,4
622,4,4
622,5,5
624,jack,10
625,3,3
629,4,4
629,6,6
630,7,7
631,4,4
632,king,10
636,king,10
637,jack,10
640,3,3
641,9,9
641,ace,11
641,8,8
643,6,6
644,10,10
647,jack,10
650,8,8
651,7,7
652,4,4
656,2,2
656,3,3
656,ace,11
656,8,8
657,3,3
657,queen,10
662,4,4
662,7,7
664,king,10
664,9,9
665,3,3
667,2,2
668,5,5
669,9,9
670,king,10
674,10,10
675,9,9
677,king,10
678,5,5
679,9,9
681,jack,10
682,10,10
683,4,4
683,8,8
684,2,2
684,8,8
684,jack,10
688,ace,11
688,5,5
689,7,7
689,king,10
691,2,2
691,9,9
692,3,3
693,7,7
696,jack,10
696,queen,10
697,10,10
698,3,3
698,ace,11
698,8,8
701,queen,10
704,8,8
704,6,6
705,8,8
705,3,3
706,3,3
706,10,10
707,4,4
707,5,5
708,4,4
709,king,10
711,3,3
714,queen,10
714,4,4
715,jack,10
716,7,7
716,7,7
719,5,5
721,4,4
721,2,2
721,king,10
722,king,10
724,queen,10
724,10,10
725,queen,10
728,5,5
729,king,10
731,king,10
732,queen,10
732,9,9
733,3,3
733,4,4
734,3,3
734,4,4
735,10,10
736,jack,10
738,2,2
738,3,3
739,5,5
739,8,8
740,3,3
740,jack,10
741,5,5
741,7,7
743,2,2
743,10,10
746,3,3
748,9,9
750,king,10
751,queen,10
754,5,5
754,king,10
755,2,2
755,7,7
758,3,3
759,2,2
759,4,4
760,2,2
760,jack,10
763,3,3
763,king,10
764,7,7
765,6,6
766,10,10
767,5,5
769,10,10
770,jack,10
771,6,6
771,7,7
772,9,9
773,10,10
777,2,2
777,5,5
780,8,8
780,9,9
781,8,8
783,ace,11
783,5,5
786,king,10
788,10,10
788,ace,11
788,2,2
788,3,3
790,2,2
791,10,10
793,3,3
794,ace,11
794,7,7
795,6,6
797,10,10
799,5,5
800,8,8
800,4,4
801,jack,10
802,ace,11
802,9,9
803,9,9
804,ace,11
805,6,6
805,4,4
806,8,8
808,5,5
808,9,9
809,9,9
810,7,7
811,9,9
812,jack,10
813,jack,10
814,2,2
814,9,9
814,5,5
815,4,4
816,8,8
817,2,2
817,6,6
819,6,6
820,ace,11
820,5,5
821,8,8
823,6,6
828,queen,10
830,3,3
830,queen,10
831,10,10
836,7,7
839,2,2
839,queen,10
840,4,4
841,3,3
841,ace,11
841,6,6
843,queen,10
844,7,7
844,king,10
845,jack,10
846,3,3
847,5,5
851,2,2
851,ace,11
851,4,4
852,6,6
852,10,10
853,queen,10
853,9,9
854,queen,10
855,8,8
855,5,5
856,4,4
856,7,7
857,ace,11
857,7,7
859,4,4
859,5,5
860,6,6
860,jack,10
861,9,9
862,3,3
862,5,5
863,king,10
864,6,6
866,9,9
868,3,3
869,4,4
870,8,8
871,3,3
871,9,9
872,ace,11
872,10,10
873,7,7
874,2,2
874,2,2
874,jack,10
875,5,5
875,8,8
876,6,6
877,ace,11
877,8,8
878,king,10
878,9,9
880,8,8
883,6,6
884,queen,10
885,queen,10
886,4,4
886,6,6
887,2,2
887,8,8
888,4,4
888,king,10
889,5,5
889,6,6
890,9,9
891,king,10
897,7,7
897,9,9
899,5,5
904,queen,10
905,9,9
908,8,8
908,4,4
908,king,10
910,queen,10
913,6,6
915,ace,11
916,8,8
917,5,5
917,4,4
919,4,4
919,5,5
920,2,2
920,5,5
921,9,9
923,8,8
923,6,6
924,4,4
924,3,3
925,6,6
926,6,6
927,3,3
927,king,10
928,king,10
929,king,10
935,9,9
935,5,5
936,4,4
936,ace,11
939,ace,11
939,2,2
940,6,6
940,4,4
942,4,4
943,9,9
945,jack,10
947,4,4
948,ace,11
952,2,2
952,king,10
955,queen,10
957,6,6
958,ace,11
960,jack,10
962,king,10
964,2,2
965,king,10
966,7,7
967,8,8
968,jack,10
970,9,9
971,7,7
973,6,6
974,7,7
977,2,2
977,9,9
980,7,7
983,6,6
983,8,8
984,queen,10
985,queen,10
989,10,10
991,queen,10
993,9,9
996,9,9
999,5,5
999,8,8
