game_id,card_name,card_value
1,ace,11
3,10,10
11,ace,11
14,9,9
17,5,5
17,ace,11
19,ace,11
29,6,6
33,3,3
33,7,7
34,3,3
37,ace,11
39,ace,11
46,10,10
47,ace,11
49,ace,11
50,8,8
51,10,10
52,3,3
56,7,7
57,5,5
59,10,10
61,ace,11
65,3,3
66,ace,11
68,3,3
70,3,3
71,ace,11
74,8,8
80,ace,11
83,7,7
85,5,5
86,8,8
87,10,10
91,10,10
97,ace,11
106,3,3
106,5,5
109,ace,11
111,2,2
112,10,10
114,8,8
115,ace,11
117,ace,11
120,ace,11
122,7,7
127,8,8
128,10,10
136,5,5
139,8,8
140,8,8
141,10,10
146,5,5
149,5,5
154,5,5
154,10,10
155,5,5
155,10,10
164,ace,11
165,7,7
171,ace,11
172,7,7
173,ace,11
174,7,7
174,3,3
175,3,3
179,7,7
181,ace,11
183,ace,11
184,ace,11
186,3,3
186,ace,11
189,ace,11
190,3,3
191,3,3
191,8,8
192,5,5
194,3,3
194,ace,11
196,8,8
199,ace,11
200,7,7
202,5,5
203,ace,11
205,ace,11
208,7,7
209,ace,11
211,2,2
213,10,10
218,7,7
219,5,5
221,10,10
223,ace,11
225,10,10
226,10,10
229,5,5
237,3,3
238,5,5
238,10,10
243,ace,11
244,ace,11
245,ace,11
246,ace,11
250,ace,11
252,5,5
252,7,7
253,ace,11
256,10,10
259,3,3
259,5,5
264,10,10
265,5,5
266,ace,11
267,10,10
269,3,3
269,10,10
271,10,10
275,ace,11
283,ace,11
286,3,3
287,7,7
289,10,10
290,ace,11
291,6,6
293,4,4
294,7,7
295,5,5
295,10,10
296,ace,11
297,ace,11
298,3,3
304,7,7
309,5,5
311,3,3
311,5,5
315,3,3
316,5,5
317,7,7
317,ace,11
323,ace,11
325,9,9
327,3,3
329,ace,11
330,10,10
331,3,3
332,ace,11
333,7,7
333,ace,11
343,3,3
343,ace,11
346,5,5
349,5,5
351,8,8
352,3,3
352,5,5
353,ace,11
355,ace,11
356,5,5
358,6,6
360,ace,11
362,10,10
364,5,5
367,ace,11
370,ace,11
375,10,10
379,9,9
384,6,6
386,3,3
386,7,7
387,ace,11
388,ace,11
389,5,5
393,ace,11
396,4,4
397,7,7
403,7,7
404,ace,11
406,ace,11
407,10,10
408,7,7
410,3,3
410,5,5
413,10,10
416,ace,11
420,3,3
422,10,10
423,10,10
426,10,10
427,3,3
427,ace,11
428,3,3
430,10,10
439,3,3
439,10,10
440,7,7
449,3,3
449,5,5
454,3,3
454,10,10
455,ace,11
457,ace,11
458,10,10
462,ace,11
465,ace,11
467,5,5
468,ace,11
469,7,7
470,5,5
476,10,10
477,ace,11
479,ace,11
482,3,3
482,10,10
483,5,5
485,ace,11
488,5,5
490,8,8
495,8,8
496,ace,11
501,7,7
502,ace,11
505,5,5
506,ace,11
509,6,6
510,10,10
511,ace,11
512,6,6
512,10,10
514,5,5
515,10,10
519,3,3
519,ace,11
520,ace,11
521,ace,11
525,7,7
526,ace,11
528,ace,11
533,3,3
533,ace,11
534,8,8
535,7,7
536,7,7
537,3,3
539,ace,11
541,7,7
541,10,10
544,10,10
546,5,5
548,7,7
549,3,3
549,7,7
551,ace,11
554,ace,11
555,5,5
558,ace,11
560,7,7
562,jack,10
563,10,10
568,ace,11
575,5,5
576,6,6
581,ace,11
583,ace,11
584,3,3
588,ace,11
596,ace,11
597,5,5
598,7,7
601,3,3
601,ace,11
602,10,10
605,ace,11
608,7,7
609,3,3
609,4,4
615,10,10
619,ace,11
621,5,5
622,10,10
629,3,3
634,5,5
635,3,3
635,ace,11
636,6,6
637,3,3
638,ace,11
640,7,7
641,ace,11
645,ace,11
646,5,5
647,ace,11
652,3,3
653,ace,11
656,5,5
662,ace,11
665,10,10
666,5,5
667,ace,11
668,3,3
668,ace,11
672,7,7
673,ace,11
677,ace,11
679,10,10
679,jack,10
681,2,2
682,4,4
686,9,9
688,5,5
688,king,10
690,ace,11
693,7,7
695,3,3
698,ace,11
701,5,5
701,10,10
703,10,10
708,ace,11
711,ace,11
712,5,5
712,ace,11
713,5,5
713,ace,11
714,10,10
717,ace,11
719,5,5
719,ace,11
720,ace,11
721,ace,11
723,ace,11
726,8,8
731,5,5
732,ace,11
734,5,5
734,ace,11
739,3,3
743,5,5
744,3,3
744,7,7
747,7,7
747,ace,11
750,ace,11
751,ace,11
753,5,5
755,3,3
755,ace,11
757,6,6
759,10,10
762,ace,11
763,9,9
764,5,5
765,7,7
769,ace,11
771,3,3
772,7,7
775,7,7
778,ace,11
779,8,8
780,ace,11
781,7,7
783,ace,11
785,7,7
786,3,3
789,7,7
789,ace,11
791,10,10
792,5,5
793,3,3
794,ace,11
796,10,10
797,ace,11
798,7,7
799,5,5
800,ace,11
801,7,7
807,ace,11
808,ace,11
809,ace,11
810,7,7
810,ace,11
814,5,5
815,ace,11
819,5,5
823,10,10
825,ace,11
826,5,5
828,ace,11
829,ace,11
830,ace,11
831,ace,11
834,ace,11
843,7,7
843,ace,11
850,7,7
853,3,3
853,10,10
854,8,8
854,ace,11
859,ace,11
865,ace,11
869,5,5
871,ace,11
872,5,5
878,5,5
879,ace,11
880,10,10
884,3,3
885,8,8
886,5,5
888,5,5
889,3,3
889,5,5
890,7,7
890,3,3
891,9,9
892,5,5
892,10,10
894,2,2
895,ace,11
897,10,10
906,6,6
908,7,7
910,10,10
911,7,7
915,ace,11
917,ace,11
918,5,5
920,ace,11
921,5,5
922,5,5
924,ace,11
927,ace,11
928,5,5
929,5,5
929,10,10
930,ace,11
934,ace,11
935,3,3
935,ace,11
940,10,10
943,ace,11
947,3,3
947,5,5
949,3,3
949,10,10
950,ace,11
951,ace,11
958,8,8
965,ace,11
968,8,8
971,2,2
971,9,9
973,ace,11
975,7,7
976,7,7
978,ace,11
980,3,3
989,5,5
990,5,5
991,10,10
993,7,7
996,3,3
997,5,5
