game_id,card_name,card_value
2,king,10
5,ace,11
7,ace,11
9,ace,11
9,6,6
10,2,2
14,5,5
15,5,5
17,4,4
21,5,5
23,3,3
23,ace,11
27,jack,10
38,queen,10
39,ace,11
43,ace,11
43,2,2
44,ace,11
44,ace,11
45,5,5
46,ace,11
46,3,3
47,5,5
48,king,10
51,king,10
57,5,5
58,5,5
59,10,10
64,5,5
66,5,5
68,10,10
69,4,4
76,5,5
79,3,3
80,king,10
85,5,5
86,5,5
88,3,3
90,king,10
91,5,5
92,4,4
94,king,10
95,5,5
98,4,4
101,jack,10
103,5,5
103,10,10
104,3,3
106,2,2
107,3,3
109,ace,11
109,2,2
112,ace,11
112,5,5
114,ace,11
117,ace,11
117,2,2
119,5,5
122,ace,11
124,jack,10
124,5,5
125,ace,11
127,ace,11
127,5,5
129,2,2
130,ace,11
131,2,2
132,jack,10
136,2,2
137,3,3
145,ace,11
147,king,10
151,3,3
154,king,10
161,8,8
162,3,3
163,king,10
165,7,7
167,6,6
168,10,10
173,ace,11
180,5,5
184,ace,11
184,3,3
187,6,6
188,8,8
195,queen,10
196,4,4
197,5,5
197,ace,11
201,5,5
202,10,10
203,king,10
206,ace,11
206,2,2
208,7,7
209,king,10
209,5,5
211,7,7
212,ace,11
212,2,2
213,ace,11
220,5,5
222,5,5
224,5,5
225,6,6
228,10,10
230,10,10
234,8,8
236,5,5
236,4,4
237,ace,11
245,6,6
249,ace,11
251,6,6
260,5,5
265,jack,10
266,4,4
266,ace,11
270,2,2
270,ace,11
271,ace,11
273,5,5
274,ace,11
275,3,3
282,5,5
283,king,10
283,5,5
285,5,5
297,jack,10
299,2,2
299,ace,11
303,5,5
304,king,10
308,ace,11
308,2,2
309,king,10
315,ace,11
315,2,2
319,3,3
321,king,10
322,5,5
331,7,7
336,8,8
337,10,10
338,10,10
339,10,10
341,jack,10
344,3,3
347,ace,11
347,5,5
349,ace,11
358,10,10
360,5,5
365,6,6
370,6,6
371,5,5
374,jack,10
377,8,8
378,5,5
382,king,10
387,5,5
393,5,5
394,king,10
395,ace,11
399,7,7
400,10,10
401,king,10
404,6,6
405,5,5
407,ace,11
408,10,10
410,5,5
411,ace,11
414,jack,10
414,5,5
415,5,5
418,6,6
421,6,6
423,5,5
424,6,6
427,4,4
434,king,10
437,ace,11
439,5,5
439,9,9
440,5,5
441,ace,11
445,10,10
448,6,6
452,6,6
453,ace,11
456,4,4
459,ace,11
459,6,6
461,3,3
462,5,5
463,5,5
467,king,10
470,king,10
479,ace,11
479,5,5
480,king,10
482,2,2
486,6,6
498,queen,10
500,5,5
501,ace,11
503,3,3
507,ace,11
507,2,2
510,queen,10
513,2,2
513,ace,11
513,5,5
519,2,2
520,6,6
521,4,4
524,6,6
526,5,5
529,8,8
531,5,5
534,5,5
536,king,10
546,10,10
550,ace,11
550,2,2
552,ace,11
553,3,3
555,queen,10
561,king,10
563,5,5
566,8,8
568,queen,10
572,king,10
580,4,4
582,6,6
584,2,2
585,6,6
588,6,6
589,ace,11
589,5,5
591,2,2
594,2,2
594,ace,11
602,6,6
605,king,10
606,ace,11
609,ace,11
609,6,6
611,ace,11
612,5,5
613,2,2
613,5,5
616,5,5
617,king,10
620,ace,11
621,7,7
622,ace,11
623,jack,10
628,9,9
630,king,10
632,5,5
635,ace,11
636,10,10
637,5,5
638,king,10
639,4,4
641,king,10
641,5,5
647,9,9
652,king,10
653,5,5
654,king,10
660,5,5
664,5,5
667,6,6
668,ace,11
684,5,5
684,6,6
685,5,5
692,queen,10
693,queen,10
696,5,5
697,ace,11
697,5,5
701,ace,11
708,2,2
718,3,3
719,queen,10
721,king,10
726,3,3
734,ace,11
736,3,3
736,10,10
739,king,10
741,ace,11
742,5,5
753,5,5
754,2,2
755,ace,11
755,3,3
761,6,6
763,5,5
765,king,10
774,ace,11
779,2,2
784,king,10
790,ace,11
804,3,3
804,ace,11
805,5,5
810,ace,11
810,3,3
811,2,2
812,2,2
814,queen,10
816,king,10
816,5,5
818,3,3
819,king,10
820,8,8
824,queen,10
832,jack,10
836,2,2
838,ace,11
838,5,5
842,king,10
842,5,5
844,5,5
845,5,5
845,ace,11
847,4,4
847,5,5
853,king,10
855,ace,11
855,6,6
858,jack,10
862,5,5
863,3,3
864,king,10
864,5,5
867,3,3
867,ace,11
869,5,5
870,7,7
872,6,6
873,4,4
876,queen,10
877,5,5
878,king,10
879,2,2
881,jack,10
882,ace,11
885,2,2
885,ace,11
886,4,4
887,6,6
889,king,10
891,8,8
893,4,4
895,2,2
899,5,5
904,ace,11
907,2,2
908,5,5
912,queen,10
920,3,3
927,2,2
931,ace,11
931,2,2
938,ace,11
940,7,7
941,ace,11
944,7,7
947,3,3
947,5,5
953,jack,10
957,ace,11
961,10,10
965,2,2
970,5,5
971,6,6
974,7,7
979,5,5
985,6,6
986,5,5
987,king,10
992,10,10
993,4,4
993,5,5
